image_name,nli_pairs,entailment_count,contradiction_count,neutral_count,contradiction_rate,consistency_score,consistency_percent
documerica_0062.jpg,48.0,18.0,2.0,28.0,0.041666666666666664,0.9,90.0
documerica_0063.jpg,70.0,18.0,1.0,51.0,0.014285714285714285,0.9473684210526315,94.73684210526315
documerica_0064.jpg,40.0,11.0,1.0,28.0,0.025,0.9166666666666666,91.66666666666666
documerica_0065.jpg,32.0,11.0,0.0,21.0,0.0,1.0,100.0
documerica_0066.jpg,86.0,15.0,3.0,68.0,0.03488372093023256,0.8333333333333334,83.33333333333334
documerica_0067.jpg,51.0,12.0,1.0,38.0,0.0196078431372549,0.9230769230769231,92.3076923076923
documerica_0068.jpg,50.0,8.0,10.0,32.0,0.2,0.4444444444444444,44.44444444444444
documerica_0069.jpg,46.0,10.0,2.0,34.0,0.043478260869565216,0.8333333333333334,83.33333333333334
documerica_0070.jpg,49.0,13.0,3.0,33.0,0.061224489795918366,0.8125,81.25
documerica_0071.jpg,34.0,4.0,9.0,21.0,0.2647058823529412,0.3076923076923077,30.76923076923077
documerica_0072.jpg,64.0,15.0,4.0,45.0,0.0625,0.7894736842105263,78.94736842105263
documerica_0073.jpg,51.0,19.0,1.0,31.0,0.0196078431372549,0.95,95.0
documerica_0074.jpg,40.0,16.0,0.0,24.0,0.0,1.0,100.0
documerica_0075.jpg,44.0,7.0,0.0,37.0,0.0,1.0,100.0
documerica_0076.jpg,50.0,14.0,3.0,33.0,0.06,0.8235294117647058,82.35294117647058
documerica_0077.jpg,51.0,20.0,0.0,31.0,0.0,1.0,100.0
documerica_0078.jpg,36.0,10.0,0.0,26.0,0.0,1.0,100.0
documerica_0079.jpg,51.0,12.0,3.0,36.0,0.058823529411764705,0.8,80.0
documerica_0080.jpg,64.0,12.0,5.0,47.0,0.078125,0.7058823529411765,70.58823529411765
documerica_0081.jpg,49.0,9.0,3.0,37.0,0.061224489795918366,0.75,75.0
documerica_0082.jpg,37.0,9.0,7.0,21.0,0.1891891891891892,0.5625,56.25
documerica_0083.jpg,48.0,12.0,4.0,32.0,0.08333333333333333,0.75,75.0
