nli_weight,metadata_weight,nli_percent,metadata_percent,mean_score,median_score,min_score,max_score,spearman_rho_vs_primary,p_value
1.0,0.0,100,0,81.85130899827126,83.7719298245614,30.76923076923077,100.0,0.9978523969846168,2.4423561763650297e-108
0.9,0.1,90,10,81.89503777887579,83.7719298245614,30.76923076923077,100.0,0.9989145606671673,1.153623893506738e-121
0.8,0.2,80,20,81.93876655948033,83.7719298245614,30.76923076923077,100.0,1.0,0.0
0.7,0.3,70,30,81.98249534008487,83.7719298245614,30.76923076923077,100.0,0.9997984230479987,1.4720325392594716e-154
