claim_id,image_name,nli_comparisons,entailment_count,contradiction_count,neutral_count,consistency_score,consistency_percent
documerica_0068.jpg_claim_5,documerica_0068.jpg,0,0,0,0,,
documerica_0024.jpg_claim_16,documerica_0024.jpg,2,0,0,2,,
documerica_0056.jpg_claim_6,documerica_0056.jpg,0,0,0,0,,
documerica_0045.jpg_claim_11,documerica_0045.jpg,2,2,0,0,1.0,100.0
documerica_0050.jpg_claim_4,documerica_0050.jpg,9,2,0,7,1.0,100.0
documerica_0061.jpg_claim_15,documerica_0061.jpg,0,0,0,0,,
documerica_0075.jpg_claim_16,documerica_0075.jpg,2,0,0,2,,
documerica_0014.jpg_claim_16,documerica_0014.jpg,3,0,1,2,0.0,0.0
documerica_0077.jpg_claim_20,documerica_0077.jpg,2,1,0,1,1.0,100.0
documerica_0006.jpg_claim_11,documerica_0006.jpg,4,0,0,4,,
documerica_0020.jpg_claim_14,documerica_0020.jpg,2,1,0,1,1.0,100.0
documerica_0071.jpg_claim_12,documerica_0071.jpg,0,0,0,0,,
documerica_0019.jpg_claim_3,documerica_0019.jpg,2,0,1,1,0.0,0.0
documerica_0073.jpg_claim_8,documerica_0073.jpg,4,3,0,1,1.0,100.0
documerica_0043.jpg_claim_15,documerica_0043.jpg,4,0,0,4,,
documerica_0014.jpg_claim_6,documerica_0014.jpg,4,2,0,2,1.0,100.0
documerica_0070.jpg_claim_8,documerica_0070.jpg,4,1,0,3,1.0,100.0
documerica_0023.jpg_claim_1,documerica_0023.jpg,2,0,1,1,0.0,0.0
documerica_0060.jpg_claim_3,documerica_0060.jpg,1,0,0,1,,
documerica_0050.jpg_claim_10,documerica_0050.jpg,6,2,0,4,1.0,100.0
documerica_0093.jpg_claim_0,documerica_0093.jpg,22,0,0,22,,
documerica_0084.jpg_claim_3,documerica_0084.jpg,3,1,0,2,1.0,100.0
documerica_0028.jpg_claim_13,documerica_0028.jpg,0,0,0,0,,
documerica_0080.jpg_claim_10,documerica_0080.jpg,20,3,0,17,1.0,100.0
documerica_0008.jpg_claim_4,documerica_0008.jpg,12,6,0,6,1.0,100.0
documerica_0005.jpg_claim_15,documerica_0005.jpg,8,4,0,4,1.0,100.0
documerica_0069.jpg_claim_1,documerica_0069.jpg,5,0,0,5,,
documerica_0026.jpg_claim_17,documerica_0026.jpg,2,0,0,2,,
documerica_0040.jpg_claim_16,documerica_0040.jpg,3,0,0,3,,
documerica_0060.jpg_claim_19,documerica_0060.jpg,1,0,0,1,,
documerica_0056.jpg_claim_1,documerica_0056.jpg,1,0,0,1,,
documerica_0058.jpg_claim_9,documerica_0058.jpg,0,0,0,0,,
documerica_0089.jpg_claim_11,documerica_0089.jpg,6,4,0,2,1.0,100.0
documerica_0072.jpg_claim_14,documerica_0072.jpg,7,2,0,5,1.0,100.0
documerica_0061.jpg_claim_12,documerica_0061.jpg,9,1,0,8,1.0,100.0
documerica_0043.jpg_claim_7,documerica_0043.jpg,0,0,0,0,,
documerica_0068.jpg_claim_2,documerica_0068.jpg,18,6,4,8,0.6,60.0
documerica_0096.jpg_claim_24,documerica_0096.jpg,2,0,0,2,,
documerica_0075.jpg_claim_4,documerica_0075.jpg,6,0,0,6,,
documerica_0014.jpg_claim_17,documerica_0014.jpg,0,0,0,0,,
documerica_0033.jpg_claim_13,documerica_0033.jpg,0,0,0,0,,
documerica_0011.jpg_claim_10,documerica_0011.jpg,9,0,0,9,,
documerica_0026.jpg_claim_11,documerica_0026.jpg,6,3,0,3,1.0,100.0
documerica_0026.jpg_claim_9,documerica_0026.jpg,0,0,0,0,,
documerica_0094.jpg_claim_18,documerica_0094.jpg,0,0,0,0,,
documerica_0081.jpg_claim_12,documerica_0081.jpg,0,0,0,0,,
documerica_0067.jpg_claim_17,documerica_0067.jpg,1,0,0,1,,
documerica_0037.jpg_claim_4,documerica_0037.jpg,0,0,0,0,,
documerica_0013.jpg_claim_9,documerica_0013.jpg,0,0,0,0,,
documerica_0039.jpg_claim_5,documerica_0039.jpg,0,0,0,0,,
documerica_0085.jpg_claim_15,documerica_0085.jpg,1,0,0,1,,
documerica_0021.jpg_claim_13,documerica_0021.jpg,1,1,0,0,1.0,100.0
documerica_0093.jpg_claim_19,documerica_0093.jpg,6,0,0,6,,
documerica_0034.jpg_claim_14,documerica_0034.jpg,3,0,0,3,,
documerica_0083.jpg_claim_10,documerica_0083.jpg,1,0,0,1,,
documerica_0005.jpg_claim_16,documerica_0005.jpg,1,0,0,1,,
documerica_0085.jpg_claim_1,documerica_0085.jpg,22,19,0,3,1.0,100.0
documerica_0067.jpg_claim_5,documerica_0067.jpg,0,0,0,0,,
documerica_0092.jpg_claim_3,documerica_0092.jpg,5,0,0,5,,
documerica_0093.jpg_claim_12,documerica_0093.jpg,1,1,0,0,1.0,100.0
documerica_0091.jpg_claim_11,documerica_0091.jpg,0,0,0,0,,
documerica_0054.jpg_claim_10,documerica_0054.jpg,1,0,0,1,,
documerica_0037.jpg_claim_20,documerica_0037.jpg,4,1,0,3,1.0,100.0
documerica_0008.jpg_claim_14,documerica_0008.jpg,1,1,0,0,1.0,100.0
documerica_0059.jpg_claim_11,documerica_0059.jpg,3,0,2,1,0.0,0.0
documerica_0074.jpg_claim_7,documerica_0074.jpg,2,0,0,2,,
