image_name,nli_pairs,entailment_count,contradiction_count,neutral_count,contradiction_rate,consistency_score,consistency_percent,total_claims,supported_claims,unsupported_claims,unverifiable_claims,not_checkable_claims,metadata_checkable_claims,metadata_support_score,reliability_score,reliability_category
documerica_0070.jpg,49.0,13.0,3.0,33.0,0.0612244897959183,0.8125,81.25,23,0,0,2,21,0,,81.25,high
documerica_0043.jpg,49.0,13.0,3.0,33.0,0.0612244897959183,0.8125,81.25,20,0,0,7,13,0,,81.25,high
documerica_0052.jpg,44.0,9.0,2.0,33.0,0.0454545454545454,0.8181818181818182,81.81818181818183,25,0,0,2,23,0,,81.81818181818183,high
documerica_0076.jpg,50.0,14.0,3.0,33.0,0.06,0.8235294117647058,82.35294117647058,25,0,0,0,25,0,,82.35294117647058,high
documerica_0048.jpg,32.0,10.0,2.0,20.0,0.0625,0.8333333333333334,83.33333333333334,24,0,0,7,17,0,,83.33333333333334,high
documerica_0025.jpg,34.0,10.0,2.0,22.0,0.0588235294117647,0.8333333333333334,83.33333333333334,22,0,0,0,22,0,,83.33333333333334,high
documerica_0059.jpg,45.0,10.0,2.0,33.0,0.0444444444444444,0.8333333333333334,83.33333333333334,20,0,0,1,19,0,,83.33333333333334,high
documerica_0069.jpg,46.0,10.0,2.0,34.0,0.0434782608695652,0.8333333333333334,83.33333333333334,23,0,0,2,21,0,,83.33333333333334,high
documerica_0066.jpg,86.0,15.0,3.0,68.0,0.0348837209302325,0.8333333333333334,83.33333333333334,16,0,0,3,13,0,,83.33333333333334,high
documerica_0044.jpg,48.0,16.0,3.0,29.0,0.0625,0.8421052631578947,84.21052631578947,21,0,0,3,18,0,,84.21052631578947,high
documerica_0012.jpg,57.0,12.0,2.0,43.0,0.0350877192982456,0.8571428571428571,85.71428571428571,20,0,0,0,20,0,,85.71428571428571,high
documerica_0015.jpg,37.0,12.0,2.0,23.0,0.054054054054054,0.8571428571428571,85.71428571428571,23,0,0,6,17,0,,85.71428571428571,high
documerica_0056.jpg,52.0,13.0,2.0,37.0,0.0384615384615384,0.8666666666666667,86.66666666666667,25,0,0,4,21,0,,86.66666666666667,high
documerica_0027.jpg,49.0,14.0,2.0,33.0,0.0408163265306122,0.875,87.5,26,0,0,0,26,0,,87.5,high
documerica_0034.jpg,46.0,15.0,2.0,29.0,0.0434782608695652,0.8823529411764706,88.23529411764706,18,0,0,2,16,0,,88.23529411764706,high
documerica_0010.jpg,47.0,15.0,2.0,30.0,0.0425531914893617,0.8823529411764706,88.23529411764706,20,0,0,3,17,0,,88.23529411764706,high
documerica_0009.jpg,55.0,24.0,3.0,28.0,0.0545454545454545,0.8888888888888888,88.88888888888889,21,0,0,6,15,0,,88.88888888888889,high
documerica_0006.jpg,50.0,16.0,2.0,32.0,0.04,0.8888888888888888,88.88888888888889,18,0,0,1,17,0,,88.88888888888889,high
documerica_0024.jpg,43.0,8.0,1.0,34.0,0.0232558139534883,0.8888888888888888,88.88888888888889,27,0,0,2,25,0,,88.88888888888889,high
documerica_0021.jpg,44.0,18.0,2.0,24.0,0.0454545454545454,0.9,90.0,25,0,0,10,15,0,,90.0,high
documerica_0062.jpg,48.0,18.0,2.0,28.0,0.0416666666666666,0.9,90.0,27,0,0,7,20,0,,90.0,high
documerica_0054.jpg,50.0,19.0,2.0,29.0,0.04,0.9047619047619048,90.47619047619048,14,0,0,3,11,0,,90.47619047619048,high
documerica_0096.jpg,29.0,10.0,1.0,18.0,0.0344827586206896,0.9090909090909092,90.9090909090909,28,0,0,2,26,0,,90.90909090909092,high
documerica_0087.jpg,35.0,10.0,1.0,24.0,0.0285714285714285,0.9090909090909092,90.9090909090909,25,0,0,1,24,0,,90.90909090909092,high
documerica_0088.jpg,34.0,10.0,1.0,23.0,0.0294117647058823,0.9090909090909092,90.9090909090909,25,0,0,5,20,0,,90.90909090909092,high
documerica_0064.jpg,40.0,11.0,1.0,28.0,0.025,0.9166666666666666,91.66666666666666,20,0,0,0,20,0,,91.66666666666666,high
documerica_0067.jpg,51.0,12.0,1.0,38.0,0.0196078431372549,0.9230769230769232,92.3076923076923,19,0,0,5,14,0,,92.30769230769232,high
documerica_0032.jpg,32.0,12.0,1.0,19.0,0.03125,0.9230769230769232,92.3076923076923,27,0,0,0,27,0,,92.30769230769232,high
documerica_0013.jpg,36.0,15.0,1.0,20.0,0.0277777777777777,0.9375,93.75,21,0,0,3,18,0,,93.75,high
documerica_0020.jpg,45.0,16.0,1.0,28.0,0.0222222222222222,0.9411764705882352,94.11764705882352,18,0,0,1,17,0,,94.11764705882352,high
documerica_0005.jpg,46.0,18.0,1.0,27.0,0.0217391304347826,0.9473684210526316,94.73684210526316,23,0,0,4,19,0,,94.73684210526316,high
documerica_0028.jpg,57.0,18.0,1.0,38.0,0.0175438596491228,0.9473684210526316,94.73684210526316,22,0,0,0,22,0,,94.73684210526316,high
documerica_0073.jpg,51.0,19.0,1.0,31.0,0.0196078431372549,0.95,95.0,20,0,0,1,19,0,,95.0,high
documerica_0085.jpg,42.0,19.0,1.0,22.0,0.0238095238095238,0.95,95.0,21,0,0,2,19,0,,95.0,high
documerica_0058.jpg,46.0,19.0,1.0,26.0,0.0217391304347826,0.95,95.0,19,0,0,3,16,0,,95.0,high
documerica_0008.jpg,45.0,20.0,1.0,24.0,0.0222222222222222,0.9523809523809524,95.23809523809524,24,0,0,0,24,0,,95.23809523809524,high
documerica_0036.jpg,46.0,17.0,1.0,28.0,0.0217391304347826,0.9444444444444444,94.44444444444444,24,1,0,10,13,1,1.0,95.55555555555554,high
documerica_0063.jpg,70.0,18.0,1.0,51.0,0.0142857142857142,0.9473684210526316,94.73684210526316,19,2,0,3,14,2,1.0,95.78947368421053,high
documerica_0035.jpg,49.0,23.0,1.0,25.0,0.0204081632653061,0.9583333333333334,95.83333333333334,22,0,0,0,22,0,,95.83333333333334,high
documerica_0018.jpg,59.0,23.0,0.0,36.0,0.0,1.0,100.0,19,0,0,0,19,0,,100.0,high
documerica_0011.jpg,42.0,7.0,0.0,35.0,0.0,1.0,100.0,15,0,0,6,9,0,,100.0,high
